session_type,start_date_and_time,name,session_nickname,session_status,school_id,participant_count,students_count,legacy_skills_needed,legacy_skills_covered
Internship,2020-03-13 6:00:00,Internships - DBinion - Section - 03297,Int Community America Spring 2020,Completed,,16,16,,PWY-Tech/IT Career Exploration
Classroom Speaker,2020-03-13 6:00:00,Classroom Speaker - CVillanueva - Section - 02892,ClsS 2020/03/13 Millennium Elementary Career Speakers,Completed,,168,156,,"PWY-Health Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration"
Campus Visit,2020-03-12 6:00:00,Campus Visit - BMcCarthy - Section - 03111,CV 2020-03-12 UMKC Argentine Mock Trial,Completed,0015f00000JUL8hAAH,27,27,,PWY-Law Career Exploration
Campus Visit,2020-03-11 6:00:00,Campus Visit - MGustafson - Section - 03100,CV 2020-03-11 UMKC Communications Visit,Completed,,39,37,,PWY-Arts & Communications Career Exploration
Workplace Visit,2020-03-10 6:00:00,Workplace Tours - BMcCarthy - Section - 03112,WT 2020-03-10 GastingerWalker Architecture visit,Completed,,19,19,,"PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration"
Workplace Visit,2020-03-10 6:00:00,Workplace Tours - BMcCarthy - Section - 03148,WT 2020-03-10 HNTB,Completed,,97,49,Business;Engineering;Arts and Communications;Construction/Trades;Manufacturing;IT,"PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration"
Workplace Visit,2020-03-10 6:00:00,Workplace Tours - CVillanueva - Section - 03046,WT 2019-12-10 Holland 1916,Completed,,47,39,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2020-03-10 6:00:00,Workplace Tours - CVillanueva - Section - 03263,WT 2020-03-10 Holland 1916,Completed,,29,21,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2020-03-09 6:00:00,Workplace Tours - BMcCarthy - Section - 03169,WT 2020-03-09 Children's Mercy Open House,Completed,,56,56,,PWY-Health Career Exploration
Classroom Speaker,2020-03-06 6:00:00,Classroom Speaker - CVillanueva - Section - 03098,ClS 2020-03-06 Belvidere Elementary Career Speakers,Completed,0015f00000JUL8NAAX,145,123,,"PWY-Police/Fire Career Exploration, PWY-Business Career Exploration, PWY-Human Service Career Exploration, PWY-Engineering Career Exploration"
Workplace Visit,2020-03-06 6:00:00,Workplace Tours - BMcCarthy - Section - 03211,WT 2020-03-06 ABC Career Fair,Completed,,43,43,,"PWY-Engineering Career Exploration, PWY-Construction/Trades Career Exploration, PWY-Tech/IT Career Exploration"
"Historical, not yet updated",2020-03-05 6:00:00,Business and Finance Institute - DBinion - Section - 03173,BFI 2020-03-05 PwC Explore Accounting Day,Completed,,17,11,,PWY-Business Career Exploration
Career Jumping,2020-03-05 6:00:00,CCE-Career Jumping - BMcCarthy - Section - 03053,CJ 2020-03-05 Grandview High School Career Jumping,Completed,0015f00000JUL8IAAX,282,248,,"PWY-Arts & Communications Career Exploration, PWY-Health Career Exploration, PWY-Human Service Career Exploration, PWY-Engineering Career Exploration"
"Historical, not yet updated",2020-03-04 6:00:00,HealthStart - KJamtgaard Jones - Section - 03264,HlSt 2020-03-04 University of St. Mary's trip,Completed,,39,24,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
Workplace Visit,2020-03-03 6:00:00,Workplace Tours - CVillanueva - Section - 03262,WT 2020-03-03 Holland 1916,Completed,,30,22,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2020-03-03 6:00:00,Workplace Tours - BMcCarthy - Section - 03150,WT 2020-03-03 MathX,Completed,,106,55,,PWY-Business Career Exploration
Campus Visit,2020-03-03 6:00:00,Campus Visit - BMcCarthy - Section - 03162,CV 2020-03-03 Park University Health visit,Completed,,31,21,,PWY-Health Career Exploration
College Options,2020-02-28 6:00:00,College Options Fair - DBinion - Section - 00954,CApp 2020/02/28 Grandview High School College Options,Completed,0015f00000JUL8IAAX,295,272,,
Workplace Visit,2020-02-28 6:00:00,Workplace Tours - MGustafson - Section - 03214,WT 2020-02-28 Sprint Accelerator,Completed,,24,19,,"PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration"
IGNITE,2020-02-28 6:00:00,IGNITE - BMcCarthy - Section - 03074,IGN 2020/02/28 Bingham IGNITE,Completed,0015f00000JUL8PAAX,5,0,,PWY-Engineering Career Exploration
Workplace Visit,2020-02-27 6:00:00,Workplace Tours - BMcCarthy - Section - 03161,WT 2020-02-27 World Wide Technology visit,Completed,,20,16,,"PWY-STEM Career Exploration, PWY-Engineering Career Exploration, PWY-Tech/IT Career Exploration"
"Historical, not yet updated",2020-02-27 6:00:00,HealthStart - KJones-Jamtgaard - Section - 03177,HlSt 2020-02-27 UMKC Dentistry and Volker visit,Completed,,28,25,,PWY-Health Career Exploration
Classroom Speaker,2020-02-25 6:00:00,Classroom Speaker - CVillanueva - Section - 02901,ClsS 2020/02/25 Crossroads Middle School Career Speakers,Completed,0015f00000JUL8oAAH,12,0,,"PWY-Health Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration, PWY-Law Career Exploration, PWY-Construction/Trades Career Exploration"
Workplace Visit,2020-02-25 6:00:00,Workplace Tours - BMcCarthy - Section - 03147,WT 2020-02-25 HNTB,Completed,,92,20,,"PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration"
Workplace Visit,2020-02-25 6:00:00,Workplace Tours - CVillanueva - Section - 03085,WT 2020-02-25 Holland 1916,Completed,,42,34,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2020-02-25 6:00:00,Workplace Tours - CVillanueva - Section - 03231,WT 2020-02-25 World Wide Technology Visit,Completed,,4,0,,"PWY-STEM Career Exploration, PWY-Engineering Career Exploration, PWY-Tech/IT Career Exploration"
Workplace Visit,2020-02-25 6:00:00,Workplace Tours - BMcCarthy - Section - 03157,WT 2020-02-25 World Wide Technology Visit,Completed,,20,20,,"PWY-STEM Career Exploration, PWY-Engineering Career Exploration, PWY-Tech/IT Career Exploration"
Workplace Visit,2020-02-24 6:00:00,Workplace Tours - CVillanueva - Section - 03229,WT 2020-02-24 World Wide Technology visit,Completed,,4,0,,"PWY-STEM Career Exploration, PWY-Engineering Career Exploration, PWY-Tech/IT Career Exploration"
Workplace Visit,2020-02-21 6:00:00,Workplace Tours - BMcCarthy - Section - 03182,WT 2020-02-21 Deloitte School to Work Day,Completed,,10,5,,PWY-Business Career Exploration
Workplace Visit,2020-02-21 6:00:00,Workplace Tours - BMcCarthy - Section - 03087,WT 2020-02-21 Introduce a Girl to Engineering,Completed,,10,9,,"PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration"
"Historical, not yet updated",2020-02-21 6:00:00,Business and Finance Institute - DBinion - Section - 03181,BFI 2020-02-21Mentor Check in at American Century,Completed,,59,17,,PWY-Business Career Exploration
Classroom Speaker,2020-02-20 6:00:00,Classroom Speaker - CVillanueva - Section - 02907,ClsS 2020/02/20 Martic City Elementary Career Speakers,Completed,,220,211,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration"
"Historical, not yet updated",2020-02-20 6:00:00,Bioscience Academy Experience - KJones-Jamtgaard - Section - 03216,BioA 2020-02-20 Stowers visit for Bio+,Completed,,31,19,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
Campus Visit,2020-02-19 6:00:00,Campus Visit - kkush - Section - 03076,CV 2020-02-19 Donnelly College 4th grade campus visit,Completed,,80,76,,CCE-College Research
Workplace Visit,2020-02-18 6:00:00,Workplace Tours - CVillanueva - Section - 03078,2020-02-18 WT Holland 1916,Completed,,48,40,,PWY-Advanced Manufacturing Career Exploration
Campus Visit,2020-02-11 6:00:00,Campus Visit - DBinion - Section - 03075,CV 2020-02-11 Donnelly College 5th grade campus visit,Completed,,67,67,,CCE-College Research
Workplace Visit,2020-02-11 6:00:00,Workplace Tours - CVillanueva - Section - 02912,WT 2020/02/11 Holland 1916,Completed,,21,13,,PWY-Advanced Manufacturing Career Exploration
"Historical, not yet updated",2020-02-11 6:00:00,Business and Finance Institute - DBinion - Section - 03185,BFI 2020-02-11 Sandbox visit,Completed,,8,5,,PWY-Business Career Exploration
IGNITE,2020-02-07 6:00:00,IGNITE - BMcCarthy - Section - 03061,IGN 2020-02-07 Pioneer Ridge IGNITE,Completed,0015f00000JUL8RAAX,377,372,,"PWY-Advanced Manufacturing Career Exploration, PWY-Law Career Exploration, PWY-Engineering Career Exploration, PWY-Construction/Trades Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Police/Fire Career Exploration, PWY-Business Career Exploration, PWY-Human Service Career Exploration"
"Historical, not yet updated",2020-02-07 6:00:00,Mad City Money - BMcCarthy - Section - 03054,MCM 2020-02-07 Grandview High School Mad City Money AM Session,Completed,0015f00000JUL8IAAX,33,18,,
"Historical, not yet updated",2020-02-07 6:00:00,Mad City Money - BMcCarthy - Section - 03055,MCM 2020-02-07 Grandview High School Mad City Money PM Session,Completed,0015f00000JUL8IAAX,100,87,,
Workplace Visit,2020-02-04 6:00:00,Workplace Tours - CVillanueva - Section - 02911,WT 2020/02/04 Holland 1916,Completed,,43,35,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2020-01-31 6:00:00,Workplace Tours - BMcCarthy - Section - 03215,WT 2020-01-31 Sprint Accelerator,Completed,,24,19,,"PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration"
Classroom Speaker,2020-01-30 6:00:00,Classroom Speaker - CVillanueva - Section - 00988,ClsS 2020/01/30 Truman Elementary Career Speakers,Completed,0015f00000JUL85AAH,136,127,,"PWY-Health Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration"
IGNITE,2020-01-30 6:00:00,IGNITE - BMcCarthy - Section - 03063,IGN 2020-01-30 Smith Hale IGNITE,Completed,0015f00000JUL8CAAX,305,305,,PWY-Engineering Career Exploration
Career Jumping,2020-01-23 6:00:00,CCE-Career Jumping - CVillanueva - Section - 02880,CJ 2020/01/23 Sumner Academy High School Career Jumping,Completed,0015f00000JUL8XAAX,242,211,,"PWY-Health Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Construction/Trades Career Exploration"
Campus Visit,2020-01-21 6:00:00,Campus Visit - CVillanueva - Section - 03188,CV 2020-01-21 Rockhurst University 5th grade visit,Completed,,45,43,,
Classroom Speaker,2020-01-14 6:00:00,Classroom Speaker - BMcCarthy - Section - 03077,ClsS 2020/01/14 Central Middle School Career Speakers,Completed,,277,263,,"PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Construction/Trades Career Exploration"
Classroom Speaker,2020-01-14 6:00:00,Classroom Speaker - BMcCarthy - Section - 03030,CS 2020-01-14 Arrowhead STEM Day,Completed,,58,57,,PWY-Engineering Career Exploration
Internship,2020-01-01 6:00:00,Internships - DBinion - Section - 03304,Int Cerner Spring 2020,Completed,,26,26,,PWY-Tech/IT Career Exploration
Classroom Speaker,2019-12-19 6:00:00,Classroom Speaker - CVillanueva - Section - 02952,ClsS 2019-12-19 Rosedale Middle School Career Speakers,Completed,0015f00000JUL8fAAH,198,186,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Arts & Communications Career Exploration, PWY-STEM Career Exploration, PWY-Bioscience Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration"
"Historical, not yet updated",2019-12-12 6:00:00,Mad City Money - CVillanueva - Section - 03205,MCM 2019-12-12 Center High School Mac City Monety,Completed,0015f00000JUL9cAAH,56,50,,
"Historical, not yet updated",2019-12-11 6:00:00,HealthStart - MGustafson - Section - 03221,HlSt 2019-12-11 Swope Ridge CNA visit,Completed,,11,5,,PWY-Health Career Exploration
Classroom Speaker,2019-12-10 6:00:00,Classroom Speaker - CVillanueva - Section - 02945,ClsS 2019-12-10 Butcher Greene Elementary Career Speakers,Completed,0015f00000JUL8OAAX,153,144,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-STEM Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration"
"Historical, not yet updated",2019-12-10 6:00:00,Business and Finance Institute - DBinion - Section - 01003,BFI 2019/12/10 BFI Success Seminar,Completed,,39,18,,PWY-Business Career Exploration
Workplace Visit,2019-12-06 6:00:00,Workplace Tours - BMcCarthy - Section - 02930,WT 2019/12/06 Sprint Accelerator,Completed,,25,20,,"PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration"
IGNITE,2019-12-06 6:00:00,IGNITE - BMcCarthy - Section - 03050,IGNT 2019-12-06 Nowlin Middle School  IGNITE,Completed,0015f00000JUL8QAAX,6,0,,PWY-Engineering Career Exploration
Workplace Visit,2019-12-06 6:00:00,Workplace Tours - BMcCarthy - Section - 03022,WT 2019-12-06 MECA Challenge: Citywide High School Invitational,Completed,,17,14,,PWY-Business Career Exploration
Career Jumping,2019-12-03 6:00:00,CCE-Career Jumping - CVillanueva - Section - 02932,CJ 2019-12-03 Allen Village Charter School Career Jumping,Completed,,101,74,,"PWY-Health Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Construction/Trades Career Exploration"
Workplace Visit,2019-12-03 6:00:00,Workplace Tours - CVillanueva - Section - 02946,WT 2019-12-03 Holland 1916,Completed,,28,20,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2019-11-22 6:00:00,Workplace Tours - BMcCarthy - Section - 02987,WT 2019-11-22 STEAM Studio Visit,Completed,,39,38,,"PWY-Engineering Career Exploration, PWY-Arts & Communications Career Exploration"
Workplace Visit,2019-11-22 6:00:00,Workplace Tours - BMcCarthy - Section - 03004,2019-11-22 MECA Challenge,Completed,,83,41,,PWY-Business Career Exploration
Campus Visit,2019-11-21 6:00:00,Campus Visit - CVillanueva - Section - 02981,2019-11-21 UMKC Law Day,Completed,,10,10,,PWY-Law Career Exploration
"Historical, not yet updated",2019-11-21 6:00:00,Financial Literacy Workshops - BMcCarthy - Section - 00934,2019/11/21/Allen Village Financial Literacy Session,Completed,,78,77,,
Campus Visit,2019-11-21 6:00:00,Campus Visit - CVillanueva - Section - 02980,2019-11-21 UMKC Law Day,Completed,,45,35,,PWY-Law Career Exploration
Career Jumping,2019-11-20 6:00:00,CCE-Career Jumping - CVillanueva - Section - 02953,CJ 2019-11-20 Rosedale Middle School Career Jumping,Completed,0015f00000JUL8fAAH,189,161,,"PWY-Health Career Exploration, PWY-STEM Career Exploration, PWY-Business Career Exploration"
Workplace Visit,2019-11-19 6:00:00,Workplace Tours - CVillanueva - Section - 02947,WT 2019-11-19 Holland 1916,Completed,,26,18,,PWY-Advanced Manufacturing Career Exploration
"Historical, not yet updated",2019-11-19 6:00:00,HealthStart - KJones-Jamtgaard - Section - 03190,HlSt 2019-11-19 Stowers visit,Completed,,7,6,,PWY-Health Career Exploration
Workplace Visit,2019-11-19 6:00:00,Workplace Tours - DBinion - Section - 03049,WT 2019-11-19 Stowers Visit,Completed,,12,11,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
Workplace Visit,2019-11-18 6:00:00,Workplace Tours - BMcCarthy - Section - 03003,WT 2019-11-18 KPRS Visit,Completed,,16,14,,PWY-Arts & Communications Career Exploration
Workplace Visit,2019-11-15 6:00:00,Workplace Tours - BMcCarthy - Section - 03008,WT 2019-11-15 Deloitte School to Work Day,Completed,,20,12,,PWY-Business Career Exploration
"Historical, not yet updated",2019-11-15 6:00:00,HealthStart - MGustafson - Section - 03192,HlSt 2019-11-15 Biotech Day at KU Edwards Campus,Completed,,38,26,,PWY-Health Career Exploration
Campus Visit,2019-11-15 6:00:00,Campus Visit - BMcCarthy - Section - 03028,CV 2019-11-15 UMKC Architecture Visit,Completed,,24,23,,"PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration"
Workplace Visit,2019-11-14 6:00:00,Workplace Tours - BMcCarthy - Section - 02983,2019-11-14 KCFD Station 19 Visit,Completed,,18,17,,PWY-Police/Fire Career Exploration
"Historical, not yet updated",2019-11-13 6:00:00,Mad City Money - CVillanueva - Section - 00955,MCM 2019/11/13 Grandview High School Mad City Money,Completed,0015f00000JUL8IAAX,123,101,,
IGNITE,2019-11-13 6:00:00,IGNITE - CVillanueva - Section - 02906,IGNT 2019/11/13 Grandview Middle School IGNITE,Completed,0015f00000JUL8MAAX,210,183,,PWY-Engineering Career Exploration
"Historical, not yet updated",2019-11-13 6:00:00,HealthStart - KJones-Jamtgaard - Section - 03194,HlSt 2019-11-13 Truman Medical Center visit,Completed,,9,8,,PWY-Health Career Exploration
Classroom Speaker,2019-11-12 6:00:00,Classroom Speaker - CVillanueva - Section - 02913,ClsS 2019-11-12 Meadowmere Elementary Career Speakers,Completed,0015f00000JUL8KAAX,227,220,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Bioscience Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration"
"Historical, not yet updated",2019-11-12 6:00:00,Business and Finance Institute - GBROWN-CURTIS - Section - 01000,BFI 2019/11/12 BFI Success Seminar,Completed,,40,19,,PWY-Business Career Exploration
Workplace Visit,2019-11-12 6:00:00,Workplace Tours - BMcCarthy - Section - 03238,WT 2019-11-12 Holland 1916,Completed,,38,30,,PWY-Advanced Manufacturing Career Exploration
Campus Visit,2019-11-12 6:00:00,Campus Visit - BMcCarthy - Section - 03005,CV 2019-11-12 MCC Longview 4th Grade Visit,Completed,,45,44,,
"Historical, not yet updated",2019-11-12 6:00:00,HealthStart - KJamtgaard Jones - Section - 03204,HlSt 2019-11-12 Cleveland-KC University visit,Completed,,19,17,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
Workplace Visit,2019-11-11 6:00:00,Workplace Tours - BMcCarthy - Section - 03002,WT 2019-11-11 Rightfully Sewn Visit,Completed,,17,15,,PWY-Arts & Communications Career Exploration
Career Jumping,2019-11-08 6:00:00,CCE-Career Jumping - CVillanueva - Section - 02905,CJ 2019-11-08 Grandview High School Career Jumping,Completed,0015f00000JUL8IAAX,164,133,,"PWY-Health Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration"
Workplace Visit,2019-11-08 6:00:00,Workplace Tours - BMcCarthy - Section - 02965,WT 2019-11-8 BrandLab Spark Day,Completed,,15,15,,PWY-Arts & Communications Career Exploration
Workplace Visit,2019-11-08 6:00:00,Workplace Tours - BMcCarthy - Section - 03007,WT 2019-11-08 Spotlight AR,Completed,,33,29,,PWY-Tech/IT Career Exploration
Campus Visit,2019-11-08 6:00:00,Campus Visit - BMcCarthy - Section - 02989,CV 2019-11-08 MCC Maple Woods Vet Tech Visit,Completed,,32,30,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
"Historical, not yet updated",2019-11-08 6:00:00,Business and Finance Institute - BMcCarthy - Section - 02992,BFI 2020-11-08 KU School of Business Visit,Completed,,40,34,,PWY-Business Career Exploration
College Options,2019-11-07 6:00:00,College Options Fair - KJones-Jamtgaard - Section - 00958,ColF 2019/11/07 Guadalupe Centers College Options Fair,Completed,0015f00000KvwwFAAR,116,95,,
"Historical, not yet updated",2019-11-07 6:00:00,HealthStart - KJones-Jamtgaard - Section - 03243,HlSt 2019-11-07 UMKC College for a Day,Completed,,86,38,,PWY-Health Career Exploration
Campus Visit,2019-11-07 6:00:00,Campus Visit - BMcCarthy - Section - 02990,CV 2019-11-07 JCCC 5th Grade Visit,Completed,,66,63,,
Workplace Visit,2019-11-07 6:00:00,Workplace Tours - BMcCarthy - Section - 03032,WT 2019-11-07 Core4 Expo,Completed,,344,252,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Arts & Communications Career Exploration, PWY-STEM Career Exploration, PWY-Advanced Manufacturing Career Exploration, PWY-Bioscience Career Exploration, PWY-Engineering Career Exploration, PWY-Human Service Career Exploration, PWY-Law Career Exploration, PWY-Hospitality Career Exploration, PWY-Construction/Trades Career Exploration, PWY-Tech/IT Career Exploration, PWY-Business Career Exploration"
Classroom Speaker,2019-11-06 6:00:00,Classroom Speaker - CVillanueva - Section - 02939,ClsS 2019-11-06 Arrowhead Middle School Career Speakers,Completed,0015f00000JUL8iAAH,171,159,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Business Career Exploration, PWY-Bioscience Career Exploration"
Workplace Visit,2019-11-05 6:00:00,Workplace Tours - CVillanueva - Section - 03265,WT 2019-11-05 Holland 1916,Completed,,33,33,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2019-11-05 6:00:00,Workplace Tours - BMcCarthy - Section - 02995,WT 2019-11-05 BrandLab Spark Day,Completed,,19,19,,PWY-Arts & Communications Career Exploration
Campus Visit,2019-11-05 6:00:00,Campus Visit - BMcCarthy - Section - 02977,CV 2019-11-05 MCC Longview Visit,Completed,,89,87,,
Workplace Visit,2019-11-01 6:00:00,Workplace Tours - CVillanueva - Section - 02964,WT 2019-11-01 Sprint Accelerator,Completed,,24,19,,"PWY-Arts & Communications Career Exploration, PWY-Business Career Exploration"
Campus Visit,2019-11-01 6:00:00,Campus Visit - BMcCarthy - Section - 02973,CV 2020-11-01MCC Maple Woods Vet Tech visit,Completed,,27,25,,"PWY-Health Career Exploration, PWY-Bioscience Career Exploration"
Career Jumping,2019-10-31 6:00:00,CCE-Career Jumping - CVillanueva - Section - 02934,CJ 2019-10-31 Guadalupe Centers Career Jumping,Completed,,131,106,,"PWY-Business Career Exploration, PWY-Health Career Exploration, PWY-STEM Career Exploration"
Campus Visit,2019-10-31 6:00:00,Campus Visit - CVillanueva - Section - 03024,2019-10-31 UCM 4th Grade Visit,Completed,,58,57,,
IGNITE,2019-10-30 6:00:00,IGNITE - CVillanueva - Section - 02908,IGNT 2019/10/30 Martin City IGNITE,Completed,0015f00000JUL8JAAX,129,100,Engineering,PWY-Engineering Career Exploration
Workplace Visit,2019-10-29 6:00:00,Workplace Tours - CVillanueva - Section - 03043,WT 2019-10-29 Holland 1916,Completed,,45,37,,PWY-Advanced Manufacturing Career Exploration
Workplace Visit,2019-10-29 6:00:00,Workplace Tours - BMcCarthy - Section - 03027,WT 2019-10-29 Power Generation Plant Tour,Completed,,51,31,,PWY-Engineering Career Exploration
Campus Visit,2019-10-29 6:00:00,Campus Visit - BMcCarthy - Section - 03006,CV 2019-10-29 UCM 5th Grade Visit,Completed,,60,59,,
Campus Visit,2019-10-29 6:00:00,Campus Visit - BMcCarthy - Section - 02969,CV 2019-10-29 JCCC Culinary & Cosmetology Visit,Completed,,22,18,,"PWY-Health Career Exploration, PWY-Human Service Career Exploration"
"Historical, not yet updated",2019-10-28 6:00:00,TechStart - DBinion - Section - 03020,TS 2019 First Semester Grandview,Completed,,10,10,,"CSCs-Planning Skills, CSCs-Problem Solving Skills"
Workplace Visit,2019-10-28 6:00:00,Workplace Tours - BMcCarthy - Section - 03026,WT 2019-10-29 Power Generation Plant Tour,Completed,,15,15,,PWY-Engineering Career Exploration
"Historical, not yet updated",2019-10-25 6:00:00,Mad City Money - CVillanueva - Section - 02889,MCM 2019-10-25 Ruskin Mad City Money,Completed,0015f00000JUL8BAAX,142,122,,
"Historical, not yet updated",2019-10-24 6:00:00,TechStart - DBinion - Section - 03018,TS 2019 First Semester Ruskin,Completed,0015f00000JUL8BAAX,0,0,,"CSCs-Planning Skills, CSCs-Problem Solving Skills"
Classroom Speaker,2019-10-23 6:00:00,Classroom Speaker - CVillanueva - Section - 02904,ClsS 2019-10-23 Eisenhower Middle School Career Speakers,Completed,0015f00000JUL8aAAH,251,238,,"PWY-Health Career Exploration, PWY-Police/Fire Career Exploration, PWY-Arts & Communications Career Exploration, PWY-Bioscience Career Exploration, PWY-Business Career Exploration, PWY-Engineering Career Exploration, PWY-Tech/IT Career Exploration"
Campus Visit,2019-10-22 6:00:00,Campus Visit - BMcCarthy - Section - 02968,CV 2019-10-22 UMKC Psychology Visit,Completed,,19,19,,PWY-Health Career Exploration
"Historical, not yet updated",2019-10-22 6:00:00,Business and Finance Institute - DBinion - Section - 00997,BFI 2019/10/22 BFI Success Seminar,Completed,,47,26,,PWY-Business Career Exploration
Workplace Visit,2019-10-22 6:00:00,Workplace Tours - CVillanueva - Section - 03042,WT 2019-10-22 Holland 1916,Completed,,45,37,,PWY-Advanced Manufacturing Career Exploration
Campus Visit,2019-10-22 6:00:00,Campus Visit - BMcCarthy - Section - 02984,CV 2019-10-22 MCC Penn Valley Health Careers Day,Completed,,45,16,,PWY-Health Career Exploration
"Historical, not yet updated",2019-10-22 6:00:00,HealthStart - MGustafson - Section - 03196,HlSt 2019-10-22 MCC-Penn Valley Health Careers Day,Completed,,369,137,,PWY-Health Career Exploration
